UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
100802,HUANUCO,PACHITEA,CHAGLLA,516035,Cormillo,CORMILLO,0,0,,1008020051,,1008020051,IGN,2008,-75.83011365000,-9.84272502000,-9.84272501999993-75.83011365
100106,HUANUCO,HUANUCO,QUISQUI (KICHKI),517662,Yanamayo,YANAMAYO,0,0,,1001060004,,1001060004,IGN,3853,-76.38634027000,-9.84266878000,-9.84266877999994-76.3863402699999
100804,HUANUCO,PACHITEA,UMARI,518882,Cochapampa,COCHAPAMPA,0,0,,1008040006,,1008040006,IGN,2429,-76.02234977000,-9.84261566000,-9.84261565999998-76.0223497699999
100106,HUANUCO,HUANUCO,QUISQUI (KICHKI),245591,Tingo,TINGO,0,0,,,,,IGN,3629,-76.48165614000,-9.84257952000,-9.84257951999996-76.48165614
101102,HUANUCO,YAROWILCA,CAHUAC,522849,Shillahuarin,SHILLAHUARIN,0,0,,1011020003,,1011020003,IGN,3293,-76.63880015000,-9.84239078000,-9.84239077999996-76.63880015
100802,HUANUCO,PACHITEA,CHAGLLA,532481,Quinque,QUINQUE,0,0,,1008020046,,1008020046,IGN,3330,-75.87613728000,-9.84236065000,-9.84236064999993-75.87613728
100104,HUANUCO,HUANUCO,CHURUBAMBA,119034,San Luis de Cancalla,SAN LUIS DE CANCALLA,0,1,GP,1001040079,,1001040079,MED-GPS,1998,-76.11063357000,-9.84233171000,-9.84233170999994-76.1106335699999
100804,HUANUCO,PACHITEA,UMARI,548597,Cosmopolita,COSMOPOLITA,0,1,IP,1008040008,,1008040008,MED-GPS,3029,-75.97377221000,-9.84226726000,-9.84226725999997-75.9737722099999
101101,HUANUCO,YAROWILCA,CHAVINILLO,227888,Huancayoc,HUANCAYOC,0,0,,,,,IGN,3392,-76.62120915000,-9.84224215000,-9.84224214999995-76.62120915
101101,HUANUCO,YAROWILCA,CHAVINILLO,615572,Potaga,POTAGA,0,0,,1011010042,,1011010042,INEI,3843,-76.50385333300,-9.82764666700,-9.82764666699995-76.5038533329999
020205,ANCASH,AIJA,SUCCHA,541406,Chaullojuanca / Culluhuanca,CHAULLOJUANCA / CULLUHUANCA,0,0,,0202050030,,0202050030,IGN,3677,-77.66496865000,-9.84167515000,-9.84167514999996-77.6649686499999
101101,HUANUCO,YAROWILCA,CHAVINILLO,546605,Nueva Labrada,NUEVA LABRADA,0,1,G,1011010063,,1011010063,MED-GPS,3798,-76.56672809000,-9.84153134000,-9.84153133999996-76.56672809
100802,HUANUCO,PACHITEA,CHAGLLA,522180,Conchacalla,CONCHACALLA,0,0,,,,,IGN,3012,-75.90397152000,-9.84142015000,-9.84142014999998-75.90397152
101105,HUANUCO,YAROWILCA,JACAS CHICO,549054,Tapiocag,TAPIOCAG,0,0,,1011050002,,1011050002,IGN,4039,-76.49999165000,-9.84134602000,-9.84134601999995-76.49999165
100301,HUANUCO,DOS DE MAYO,LA UNION,551208,Ogopata,OGOPATA,0,1,G,1003010006,,1003010006,IGN,3527,-76.79718227000,-9.84003578000,-9.84003577999994-76.79718227
101106,HUANUCO,YAROWILCA,OBAS,132570,Cuncayoc,CUNCAYOC,0,0,,,,,IGN,3689,-76.69104752000,-9.83999266000,-9.83999265999995-76.69104752
020508,ANCASH,BOLOGNESI,HUALLANCA,227563,Hacienda Torres,HACIENDA TORRES,0,0,,0205080023,,0205080023,IGN,4171,-77.05259964000,-9.83983077000,-9.83983076999994-77.05259964
190308,PASCO,OXAPAMPA,CONSTITUCION,616354,Puerto Burro,PUERTO BURRO,0,0,,1903080021,,1903080021,INEI,245,-75.11124166700,-9.85335666700,-9.85335666699996-75.1112416669999
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,545131,San Juan de ?Êauza,SAN JUAN DE ?ÊAUZA,0,1,IP,1001090033,,1001090033,MED-GPS,2588,-76.21407159000,-9.83978488000,-9.83978487999997-76.2140715899999
100106,HUANUCO,HUANUCO,QUISQUI (KICHKI),231965,Huancapunta,HUANCAPUNTA,0,0,,,,,IGN,4104,-76.49740465000,-9.83977115000,-9.83977114999993-76.49740465
